StationID,LabCode,SampleType,QABatch,Species,Dilution,Concentration,EPCode,Units,StatisticalTest,Mean,N,StdDev,PctControl,SigEffect,QACode,Comment
6428,CLAEMD,RESULT,B0808071batch2b.E,EE,-99,-99,SP10,PERCENT,t-test,99,5,2.23606,104.21052,NSC,A,
6428,NE,Result,0809-S251,MG,-99,-99,NPA,PERCENT,t-test,95,5,10.29563,109.69976,NSC,E,
6432,CLAEMD,RESULT,B0809071batch4a.E,EE,-99,-99,SP10,PERCENT,t-test,90,5,5,91.83673,SC,A,
6432,NE,Result,0809-S099,MG,-99,-99,NPA,PERCENT,t-test,68.19999,5,17.19593,80.61465,NSC,AJ,
6436,CLAEMD,RESULT,B0809071batch4b.E,EE,-99,-99,SP10,PERCENT,t-test,92,5,5.70087,93.87754,SC,A,
6436,GTCN,RESULT,GC_B08MG5_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,91.19999,5,4.43846,90.47618,SC,AK,
6437,CLAEMD,RESULT,B0809071batch4a.E,EE,-99,-99,SP10,PERCENT,t-test,86,5,8.21583,87.7551,SC,A,
6437,NE,Result,0809-S099,MG,-99,-99,NPA,PERCENT,t-test,70.4,5,8.3845,83.21513,NSC,AJ,
6438,GTCN,RESULT,GC_B08EE6_S_TOX,EE,-99,-99,SP10,PERCENT,t-test,89,5,5.47722,94.68085,NSC,AEK,
6438,GTCN,RESULT,GC_B08MG6_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,82,5,9.08295,96.92671,NSC,AK,
6442,GTCN,RESULT,GC_B08EE2_S_TOX,EE,-99,-99,SP10,PERCENT,t-test,82,5,5.70087,87.23403,SC,AEK,
6442,GTCN,RESULT,GC_B08MG2_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,5.19999,5,1.48323,5.52016,SC,AKN,"Results were likely affected by ammonia concentration in the overlying water.  For the report, a value of 32% normal-alive was used based on the predicted effect of ammonia."
6443,CLAEMD,RESULT,B0808071batch3b.E,EE,-99,-99,SP10,PERCENT,t-test,92,5,4.47213,93.87754,SC,A,
6443,NE,Result,0808-S081,MG,-99,-99,NPA,PERCENT,t-test,78,5,12.60951,104.55764,NSC,E,
6444,CLAEMD,RESULT,B0809071batch4a.E,EE,-99,-99,SP10,PERCENT,t-test,83,5,4.47213,84.69387,SC,A,
6444,GTCN,RESULT,GC_B08MG5_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,89.19999,5,7.32802,88.49206,SC,AEK,
6446,CLAEMD,RESULT,B0808071batch3b.E,EE,-99,-99,SP10,PERCENT,t-test,93,5,8.3666,94.89795,NSC,A,
6446,NE,Result,0808-S081,MG,-99,-99,NPA,PERCENT,t-test,80,5,8.74642,107.2386,NSC,E,
6447,CLAEMD,RESULT,B0809071batch4a.E,EE,-99,-99,SP10,PERCENT,t-test,89,5,6.5192,90.81632,SC,A,
6447,GTCN,RESULT,GC_B08MG5_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,89.4,5,9.91463,88.69047,SC,AEK,
6448,CLAEMD,RESULT,B0809071batch4b.E,EE,-99,-99,SP10,PERCENT,t-test,81,5,9.61769,82.65306,SC,A,
6448,NE,Result,0809-S099,MG,-99,-99,NPA,PERCENT,t-test,59.79999,5,9.73139,70.68557,SC,AJ,
6449,CLAEMD,RESULT,B0808071batch3a.E,EE,-99,-99,SP10,PERCENT,t-test,95,5,3.53553,95,SC,A,
6449,NE,Result,0808-S081,MG,-99,-99,NPA,PERCENT,t-test,80.59999,5,3.78153,108.04289,NSC,E,
6450,CLAEMD,RESULT,B0808071batch2b.E,EE,-99,-99,SP10,PERCENT,t-test,89,5,9.61769,93.68421,NSC,A,
6450,NE,Result,0809-S251,MG,-99,-99,NPA,PERCENT,t-test,85.19999,5,8.58487,98.38336,NSC,E,
6451,GTCN,RESULT,GC_B08EE6_S_TOX,EE,-99,-99,SP10,PERCENT,t-test,87,5,10.95445,92.55319,NSC,AEK,
6451,GTCN,RESULT,GC_B08MG6_S_TOX,MG,-99,-99,NPA,PERCENT,t-test,85.19999,5,6.97853,100.70922,NSC,AK,
6460,CLAEMD,RESULT,B0808071batch3a.E,EE,-99,-99,SP10,PERCENT,t-test,96,5,4.1833,96,SC,A,
